spot,strike,volatility,rate,expiry,price,bs_price
106.107,113.922,0.203279,0.0476688,1.48984,10.4781,10.4741
109.641,118.604,0.414212,0.0144402,1.43155,18.9256,18.9766
117.146,98.2247,0.277284,0.0372242,1.6548,30.3087,30.3472
95.3368,90.1809,0.435139,0.0368695,0.865439,18.9565,18.9813
88.7928,117.982,0.112906,0.0370199,0.35243,2.5568e-05,3.96945e-05
117.047,91.7678,0.321471,0.047025,1.36192,35.2927,35.3016
106.829,116.572,0.20922,0.0246343,1.11358,6.75467,6.73768
97.7391,119.233,0.470489,0.0244064,0.703568,8.8047,8.79975
81.9323,111.869,0.356106,0.0207894,0.454682,1.13588,1.13353
86.7353,116.585,0.420928,0.0134383,0.664909,3.83771,3.84311
94.0842,112.102,0.296698,0.0311942,1.49396,8.94011,8.89884
80.0803,89.7317,0.306071,0.0389067,0.757781,5.77318,5.77496
104.806,115.462,0.362539,0.0418288,0.588557,8.49596,8.5019
99.5615,90.9997,0.449301,0.0183631,0.10832,11.0443,11.0291
119.744,93.7643,0.484049,0.0302306,0.323813,29.727,29.6703
116.306,114.585,0.458485,0.0153895,0.634103,18.0665,18.0958
89.3411,91.4711,0.188287,0.0380428,1.88981,11.2716,11.2457
99.3945,85.832,0.232015,0.0250302,0.945493,18.2672,18.2371
106.117,108.106,0.173517,0.0154675,1.64371,9.72164,9.73336
104.161,88.4873,0.445522,0.0105344,1.73902,31.6934,31.7215
80.4463,80.7035,0.495574,0.0121749,1.22219,17.7541,17.7359
116.703,114.082,0.440825,0.0329539,0.484899,16.2699,16.2905
83.6401,104.844,0.158435,0.0350218,1.38137,1.53999,1.54374
90.657,115.094,0.11996,0.0447738,0.273404,0.000227831,0.000239188
88.3917,99.1669,0.413391,0.0173762,0.562637,7.21026,7.2399
106.727,107.63,0.195501,0.0174048,0.661999,6.91425,6.92134
117.434,110.732,0.126654,0.0147054,0.563552,9.14449,9.14418
119.348,85.4005,0.334051,0.0455806,1.20684,41.1386,41.1545
105.467,117.925,0.440962,0.0401339,0.945007,14.7689,14.8189
87.4386,106.402,0.193552,0.0129326,1.4275,2.79667,2.79421
90.9979,82.9733,0.377312,0.0327982,1.70791,23.4582,23.4965
115.556,89.6708,0.29128,0.0126779,0.167306,26.1529,26.1444
119.199,117.623,0.377268,0.0482173,1.82257,29.0112,28.982
90.7567,115.285,0.364091,0.0429139,0.709071,4.52145,4.52663
96.1693,98.694,0.35918,0.0261544,1.41252,16.6642,16.6979
89.7185,91.6966,0.223654,0.029416,0.600345,6.02357,6.02298
104.609,103.536,0.265881,0.0146344,0.593585,9.48164,9.4738
100.754,119.27,0.407858,0.0394359,1.28384,13.9187,13.8742
114.504,111.104,0.136744,0.0377769,0.86877,9.81401,9.80729
90.7191,89.997,0.100751,0.0122287,0.669434,3.74464,3.74331
86.1839,98.9727,0.289623,0.0314633,1.32272,8.07987,8.09824
108.227,106.542,0.360586,0.0267637,0.740049,15.0709,15.0792
97.0649,94.9382,0.336675,0.0438611,1.08598,16.5619,16.5874
103.052,92.1384,0.454949,0.0119175,0.818691,22.3697,22.4227
116.622,95.0141,0.196764,0.0256144,0.276536,22.3489,22.3589
87.2254,94.9257,0.205429,0.0202623,1.23126,5.76092,5.75402
88.9944,100.548,0.3786,0.0445217,1.40248,13.6621,13.6787
108.961,104.714,0.174143,0.0414042,0.326925,7.65057,7.63088
105.74,91.4986,0.497095,0.01845,0.29131,19.4578,19.4504
88.2708,102.326,0.454978,0.0201869,0.135857,1.70674,1.70092
110.164,104.478,0.438684,0.0106864,0.399416,15.0994,15.1224
82.7828,93.3186,0.283453,0.0240363,0.40243,2.58527,2.59399
106.046,93.9369,0.262659,0.0341756,0.203926,13.5825,13.6009
103.669,105.992,0.312716,0.0254602,0.791938,11.3722,11.3805
100.004,102.391,0.112066,0.0296805,1.36222,6.05451,6.04883
108.773,109.037,0.323343,0.0200021,1.23077,16.5185,16.5363
109.289,100.284,0.212041,0.0480192,1.59389,20.8138,20.8695
97.432,99.9571,0.174479,0.0128184,1.40449,7.65965,7.68821
108.76,100.146,0.199783,0.0297326,0.142913,9.5345,9.5283
104.492,102.194,0.190284,0.0117612,1.17969,10.4343,10.4289
91.4624,110.157,0.387258,0.0270555,0.471165,4.10794,4.08785
97.7945,91.8194,0.197567,0.0212942,0.673095,10.3836,10.4007
114.488,89.7054,0.169254,0.0257212,1.9201,30.2712,30.2712
115.782,87.2666,0.18392,0.0223003,1.08023,31.022,31.0266
99.2615,89.8597,0.412293,0.0140972,1.85016,26.9997,26.985
90.6576,98.7611,0.410056,0.0456029,1.09962,14.1408,14.1274
104.026,99.5289,0.359431,0.0141283,1.30138,19.7149,19.7285
85.6743,111.495,0.425114,0.0341318,0.758196,5.56836,5.57268
80.7259,104.355,0.218684,0.0124317,1.03851,1.40029,1.40519
109.305,90.3057,0.254339,0.0264117,0.486125,21.224,21.2378
82.4442,108.45,0.134938,0.0379386,1.39286,0.547194,0.548783
100.974,96.9092,0.443264,0.0362052,1.50573,25.5673,25.5706
86.3317,107.907,0.355989,0.0498608,0.217692,0.761708,0.75923
101.282,111.031,0.255465,0.015177,1.30249,8.79163,8.75821
82.1278,104.521,0.242448,0.0471206,0.712002,1.50648,1.50517
99.6143,106.81,0.489425,0.0267647,0.161387,5.13246,5.1379
98.6028,80.3047,0.491638,0.0378238,1.15877,31.0856,31.113
113.831,111.529,0.168519,0.046208,0.968823,11.4572,11.4324
108.68,94.4354,0.393582,0.0394473,1.04353,26.4631,26.4708
113.412,116.938,0.228568,0.0378539,1.31384,12.7859,12.8127
84.3996,91.3939,0.335712,0.0161998,1.52451,11.9886,11.9892
117.263,108.477,0.350773,0.0429648,0.561668,18.2467,18.2162
114.281,99.7736,0.196642,0.0475965,0.461384,17.4989,17.4968
96.1738,105.116,0.171632,0.023887,0.622237,2.48649,2.47916
83.0106,91.4559,0.291099,0.0137364,0.911218,6.38625,6.35762
116.976,86.4127,0.29371,0.0290158,0.493868,32.2962,32.3457
101.479,105.884,0.19104,0.0379416,1.5888,10.5915,10.5603
81.5805,107.326,0.195268,0.0118666,0.214767,0.00330735,0.00319702
111.535,104.094,0.456793,0.037239,1.41363,29.447,29.4426
99.0246,86.4197,0.184945,0.0231881,1.95011,19.7313,19.7347
96.7424,111.873,0.3871,0.0136942,0.11014,0.881171,0.880605
105.714,92.0517,0.179961,0.0465817,1.50424,21.8437,21.8291
99.6553,102.891,0.3295,0.0258718,0.342943,6.63532,6.6408
87.004,91.865,0.462911,0.0229243,0.574113,10.6274,10.6214
95.2711,109.323,0.334313,0.0300523,0.286502,2.50888,2.50233
90.0035,89.6709,0.255937,0.0114024,0.242585,4.80504,4.80475
86.3959,87.7392,0.197339,0.0351529,0.40485,4.27271,4.27597
118.896,107.179,0.175303,0.02158,1.4923,18.8777,18.8915
110.64,111.757,0.316719,0.0419132,0.106664,4.26728,4.274
86.5362,82.451,0.283758,0.0350687,1.96859,18.2401,18.2394
87.4346,106.514,0.417878,0.0462877,1.24342,11.5516,11.5139
104.848,112.282,0.172959,0.0192694,0.196791,0.920893,0.924318
103.013,118.472,0.28451,0.0239614,0.187474,0.93341,0.933148
101.053,105.04,0.108106,0.0370554,0.970254,4.16131,4.15948
100.545,100.093,0.212866,0.0318471,0.834748,9.31715,9.30557
89.58,107.401,0.457643,0.0471103,0.106666,0.856498,0.852554
106.427,107.091,0.201142,0.0249311,0.34042,5.10798,5.096
106.642,112.25,0.336113,0.0261411,1.68856,18.1607,18.1226
96.3568,112.587,0.390352,0.033108,0.771128,8.2756,8.31492
80.4036,99.286,0.301929,0.0189629,1.54361,6.66175,6.63526
113.716,109.046,0.168637,0.0427372,0.315474,7.9265,7.93967
99.0549,102.099,0.219878,0.027077,0.83205,7.56032,7.56434
105.971,108.454,0.314129,0.0325124,1.78,19.1413,19.155
88.0662,91.0841,0.441239,0.0170528,0.130015,4.36534,4.37544
80.9297,89.7396,0.376835,0.0148587,0.690114,7.05141,7.06887
